11/04/2018 23:28:01.750 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener]
11/04/2018 23:28:01.779 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@14008db3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78a773fd, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@57c03d88, org.springframework.test.context.support.DirtiesContextTestExecutionListener@16aa8654, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6d7fc27, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@45ac5f9b, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@135606db, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@518caac3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@68034211, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4f74980d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6c372fe6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@58594a11, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2a3888c1]
11/04/2018 23:28:01.907 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7e19ebf0: startup date [Wed Apr 11 23:28:01 CEST 2018]; root of context hierarchy
11/04/2018 23:28:03.043 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/api/todos/{authorId}],produces=[application/json;charset=UTF-8]}" onto public java.util.List<be.unamur.webapp.spring.basics.dataaccess.entity.Todo> be.unamur.webapp.spring.basics.web.controller.TodoRestController.listTodos(long)
11/04/2018 23:28:04.161 [main] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.6.Final
11/04/2018 23:28:04.569 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@7e19ebf0: startup date [Wed Apr 11 23:28:01 CEST 2018]; root of context hierarchy
11/04/2018 23:28:05.471 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@de77232, org.springframework.security.web.context.SecurityContextPersistenceFilter@7495699f, org.springframework.security.web.header.HeaderWriterFilter@27a7ef08, org.springframework.security.web.csrf.CsrfFilter@3506d826, org.springframework.security.web.authentication.logout.LogoutFilter@2881ad47, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5445f5ba, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5b498842, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6a0cbc6f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4cb0a000, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@af9a89f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@62628e78, org.springframework.security.web.session.SessionManagementFilter@11e33bac, org.springframework.security.web.access.ExceptionTranslationFilter@71dfcf21, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@442f92e6]
11/04/2018 23:28:05.753 [main] INFO  o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
11/04/2018 23:28:05.754 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
11/04/2018 23:28:05.804 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 49 ms
11/04/2018 23:28:06.158 [Thread-1] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@7e19ebf0: startup date [Wed Apr 11 23:28:01 CEST 2018]; root of context hierarchy
