12/04/2018 00:12:59.964 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener]
12/04/2018 00:13:00.022 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6c372fe6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@58594a11, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2a3888c1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4167d97b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@14fa86ae, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6e15fe2, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@68f1b17f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1722011b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@57ad2aa7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5b3f61ff, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3e2059ae, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@398dada8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7cb502c]
12/04/2018 00:13:00.202 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@45d2ade3: startup date [Thu Apr 12 00:13:00 CEST 2018]; root of context hierarchy
12/04/2018 00:13:01.313 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/api/todos/{authorId}],produces=[application/json;charset=UTF-8]}" onto public java.util.List<be.unamur.webapp.spring.basics.dataaccess.entity.Todo> be.unamur.webapp.spring.basics.web.controller.TodoRestController.listTodos(long)
12/04/2018 00:13:01.813 [main] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.6.Final
12/04/2018 00:13:01.976 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@45d2ade3: startup date [Thu Apr 12 00:13:00 CEST 2018]; root of context hierarchy
12/04/2018 00:13:02.767 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6ac0b715, org.springframework.security.web.context.SecurityContextPersistenceFilter@40298285, org.springframework.security.web.header.HeaderWriterFilter@5ff2e84b, org.springframework.security.web.csrf.CsrfFilter@3cae7b8b, org.springframework.security.web.authentication.logout.LogoutFilter@69e49a81, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@20749d9, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@58a63629, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4ab550d5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@41b0ae4c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2881ad47, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@468be356, org.springframework.security.web.session.SessionManagementFilter@64a4dd8d, org.springframework.security.web.access.ExceptionTranslationFilter@7495699f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@12b5454f]
12/04/2018 00:13:03.139 [main] INFO  o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
12/04/2018 00:13:03.140 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
12/04/2018 00:13:03.167 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 26 ms
12/04/2018 00:13:03.491 [Thread-1] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@45d2ade3: startup date [Thu Apr 12 00:13:00 CEST 2018]; root of context hierarchy
